conflictid,dyadid,org,sideaname,sideaid,sideacomponents,sidebname,sidebid,sidebcomponents,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,year,fatbest,fatlow,fathigh,location,gwnoloc,region,version
4660,5270,3,Lou Nuer,706,,Murle,655,,2006-05-31,5,2011-04-24,2,0,,,2012,424,424,424,"South Sudan, Ethiopia","626, 530",4,17.1
4660,5270,3,Lou Nuer,706,,Murle,655,,2006-05-31,5,2011-04-24,2,1,2013-08-08,1,2013,118,118,488,South Sudan,626,4,17.1
4660,5270,3,Lou Nuer,706,,Murle,655,,2006-05-31,5,2016-02-14,2,-99,,,2016,101,101,101,South Sudan,626,4,17.1
4661,5271,3,Hol Dinka,900,,Lou Nuer,706,,2008-05-17,1,2008-05-17,1,0,,,2008,31,31,36,Sudan,625,4,17.1
4661,5271,3,Hol Dinka,900,,Lou Nuer,706,,2008-05-17,1,2008-05-17,1,1,2009-10-16,1,2009,237,237,244,Sudan,625,4,17.1
4662,5272,1,LRA,488,,SPLM/A,466,,1995-10-30,3,1995-10-30,3,0,,,1995,36,36,36,Sudan,625,4,17.1
4662,5272,1,LRA,488,,SPLM/A,466,,1995-10-30,3,1995-10-30,3,0,,,1996,152,152,152,Sudan,625,4,17.1
4662,5272,1,LRA,488,,SPLM/A,466,,1995-10-30,3,1995-10-30,3,0,,,1997,100,100,100,Sudan,625,4,17.1
4662,5272,1,LRA,488,,SPLM/A,466,,1995-10-30,3,1995-10-30,3,1,1998-09-14,1,1998,58,58,58,Sudan,625,4,17.1
4662,5272,1,LRA,488,,SPLM/A,466,,1995-10-30,3,2004-03-05,2,1,2004-12-22,1,2004,142,142,142,Sudan,625,4,17.1
4663,5273,1,LTTE,320,,LTTE - K,389,,2004-03-30,1,2004-05-21,1,0,,,2004,60,60,80,Sri Lanka,780,3,17.1
4663,5273,1,LTTE,320,,LTTE - K,389,,2004-03-30,1,2004-05-21,1,0,,,2005,30,30,58,Sri Lanka,780,3,17.1
4663,5273,1,LTTE,320,,LTTE - K,389,,2004-03-30,1,2004-05-21,1,1,2006-12-30,1,2006,97,97,136,Sri Lanka,780,3,17.1
4664,5274,3,Lumad,390,,Moro,391,,2006-06-22,1,2006-06-30,3,1,2006-06-30,3,2006,25,25,25,Philippines,840,3,17.1
4665,5275,3,Kikuyu,926,,Luo,901,,2007-12-31,1,2008-01-28,1,1,2008-02-18,1,2008,42,42,82,Kenya,501,4,17.1
4666,5276,3,Ma'aliyah,641,,Rizeigat Baggara,703,,2002-05-25,2,2002-05-25,2,1,2002-05-25,2,2002,53,27,53,Sudan,625,4,17.1
4666,5276,3,Ma'aliyah,641,,Rizeigat Baggara,703,,2002-05-25,2,2004-12-31,5,1,2004-12-31,5,2004,69,69,69,Sudan,625,4,17.1
4666,5276,3,Ma'aliyah,641,,Rizeigat Baggara,703,,2002-05-25,2,2013-08-11,2,0,,,2013,229,229,248,Sudan,625,4,17.1
4666,5276,3,Ma'aliyah,641,,Rizeigat Baggara,703,,2002-05-25,2,2013-08-11,2,0,,,2014,395,346,495,Sudan,625,4,17.1
4666,5276,3,Ma'aliyah,641,,Rizeigat Baggara,703,,2002-05-25,2,2013-08-11,2,0,,,2015,252,171,252,Sudan,625,4,17.1
4666,5276,3,Ma'aliyah,641,,Rizeigat Baggara,703,,2002-05-25,2,2013-08-11,2,-99,,,2016,27,27,27,Sudan,625,4,17.1
4667,5277,3,Mangal,797,,Turi,791,,2007-04-07,1,2007-11-17,1,0,,,2007,187,187,273,Pakistan,770,3,17.1
4667,5277,3,Mangal,797,,Turi,791,,2007-04-07,1,2007-11-17,1,1,2008-09-23,1,2008,58,58,58,Pakistan,770,3,17.1
4668,5278,1,Mara 18 (Guatemala),776,,Mara Salvatrucha (Guatemala),777,,2001-04-26,3,2005-08-15,1,1,2005-09-19,1,2005,56,56,56,Guatemala,90,5,17.1
4669,5279,3,Fiqi Muhumud subclan (Dir),604,,Marehan subclan of Sede clan (Darod),644,,2003-05-22,1,2003-10-27,1,1,2003-12-16,2,2003,104,102,125,Somalia,520,4,17.1
4670,5280,3,Majerteen subclan (Darod),711,,Marehan subclan of Sede clan (Darod),644,,2001-11-30,5,2006-02-17,2,1,2006-02-17,2,2006,100,100,100,Ethiopia,530,4,17.1
4671,5281,3,Majerteen subclan (Darod),711,,Ogaden clan (Darod),663,,2004-06-10,2,2004-06-10,2,1,2004-06-10,2,2004,54,54,54,Ethiopia,530,4,17.1
4672,5282,3,Dassanetch,713,,Turkana,693,,1991-12-31,5,1997-06-30,1,1,1997-06-30,1,1997,28,28,28,Kenya,501,4,17.1
4672,5282,3,Dassanetch,713,,Turkana,693,,1991-12-31,5,2000-02-23,1,1,2000-02-23,1,2000,142,142,142,Kenya,501,4,17.1
4672,5282,3,Dassanetch,713,,Turkana,693,,1991-12-31,5,2005-07-31,3,1,2005-11-30,3,2005,36,36,36,"Ethiopia, Kenya","530, 501",4,17.1
4672,5282,3,Dassanetch,713,,Turkana,693,,1991-12-31,5,2009-07-27,5,1,2009-11-30,3,2009,54,54,54,"Kenya, Ethiopia","501, 530",4,17.1
4672,5282,3,Dassanetch,713,,Turkana,693,,1991-12-31,5,2011-05-02,1,1,2011-08-07,1,2011,55,55,78,Kenya,501,4,17.1
4673,5283,1,MFDC Front Nord - MD,650,,MFDC - S,651,,2006-06-07,3,2006-06-15,2,1,2006-06-15,2,2006,124,124,124,Senegal,433,4,17.1
4674,5284,3,Misseriya,1025,,Rizeigat Abbala,676,,2004-12-31,5,2008-08-20,1,0,,,2008,67,67,67,Sudan,625,4,17.1
4674,5284,3,Misseriya,1025,,Rizeigat Abbala,676,,2004-12-31,5,2008-08-20,1,0,,,2009,244,244,264,Sudan,625,4,17.1
4674,5284,3,Misseriya,1025,,Rizeigat Abbala,676,,2004-12-31,5,2008-08-20,1,1,2010-08-18,2,2010,342,342,342,Sudan,625,4,17.1
4674,5284,3,Misseriya,1025,,Rizeigat Abbala,676,,2004-12-31,5,2012-07-19,1,1,2012-07-19,1,2012,58,58,116,Sudan,625,4,17.1
4674,5284,3,Misseriya,1025,,Rizeigat Abbala,676,,2004-12-31,5,2015-12-12,1,1,2015-12-12,1,2015,29,23,29,Sudan,625,4,17.1
4675,5285,3,Mohamed Muse subclan of Abgal clan (Hawiye),654,,Warsangeli subclan of Abgal clan (Hawiye),699,,2003-03-01,1,2003-05-28,1,1,2003-07-30,1,2003,64,64,76,Somalia,520,4,17.1
4676,5286,1,MDF,902,,SLDF,704,,2008-01-31,3,2008-01-31,3,1,2008-01-31,3,2008,32,32,32,Kenya,501,4,17.1
4677,5287,3,Murle,655,,Nuer,660,,2006-04-15,2,2006-04-22,1,1,2006-04-29,1,2006,59,59,59,Ethiopia,530,4,17.1
4677,5287,3,Murle,655,,Nuer,660,,2006-04-15,2,2016-04-15,1,-99,,,2016,150,150,216,Ethiopia,530,4,17.1
4678,5288,1,NDPVF,560,,NDV,657,,2004-02-21,1,2004-08-23,1,1,2004-11-04,1,2004,59,59,60,Nigeria,475,4,17.1
4679,5289,1,NSCN-IM,223,,NSCN-K,224,,1999-08-19,1,2001-04-30,3,1,2001-12-11,1,2001,59,59,59,India,750,3,17.1
4679,5289,1,NSCN-IM,223,,NSCN-K,224,,1999-08-19,1,2005-09-10,1,0,,,2005,29,22,30,India,750,3,17.1
4679,5289,1,NSCN-IM,223,,NSCN-K,224,,1999-08-19,1,2005-09-10,1,0,,,2006,68,67,80,India,750,3,17.1
4679,5289,1,NSCN-IM,223,,NSCN-K,224,,1999-08-19,1,2005-09-10,1,0,,,2007,76,76,82,India,750,3,17.1
4679,5289,1,NSCN-IM,223,,NSCN-K,224,,1999-08-19,1,2005-09-10,1,1,2008-12-11,1,2008,51,51,59,India,750,3,17.1
4679,5289,1,NSCN-IM,223,,NSCN-K,224,,1999-08-19,1,2011-02-25,2,1,2011-03-15,1,2011,37,37,37,India,750,3,17.1
4680,5290,1,NSCN-IM,223,,NSCN-U,798,,2008-04-17,1,2008-06-07,1,1,2008-08-01,1,2008,36,36,49,India,750,3,17.1
4681,5291,3,"Nyangatom , Toposa",3806,"712, 692",Turkana,693,,2006-01-13,1,2006-01-13,1,1,2006-01-13,1,2006,58,58,58,Kenya,501,4,17.1
4682,5292,3,Ogaden clan (Darod),663,,Sheikhal clan (Dir),682,,1999-09-01,2,1999-09-09,3,1,1999-09-09,3,1999,70,70,70,Somalia,520,4,17.1
4682,5292,3,Ogaden clan (Darod),663,,Sheikhal clan (Dir),682,,1999-09-01,2,2002-03-31,3,1,2002-05-31,3,2002,435,435,435,Ethiopia,530,4,17.1
4683,5293,3,Oromo,664,,Somali (Ethiopia),685,,1991-07-07,1,2000-07-16,2,1,2000-07-16,2,2000,40,40,40,Ethiopia,530,4,17.1
4683,5293,3,Oromo,664,,Somali (Ethiopia),685,,1991-07-07,1,2003-12-26,1,1,2003-12-26,1,2003,33,33,33,Ethiopia,530,4,17.1
4683,5293,3,Oromo,664,,Somali (Ethiopia),685,,1991-07-07,1,2005-02-22,1,1,2005-06-30,5,2005,102,102,102,Ethiopia,530,4,17.1
4684,5294,1,Palipehutu-FNL,432,,Palipehutu-FNL - LP,786,,2007-09-04,1,2007-09-04,1,1,2007-10-21,1,2007,52,46,52,Burundi,516,4,17.1
4685,5295,1,PDF,667,,SSDF,686,,2002-11-09,1,2002-11-09,1,1,2002-11-09,1,2002,38,38,38,Sudan,625,4,17.1
4686,5296,3,Pian Karimojong,669,,Pokot,670,,1998-04-13,1,2003-11-30,3,1,2003-11-30,3,2003,34,34,34,Uganda,500,4,17.1
4687,5297,3,Pokot,670,,Sabiny,681,,2003-04-11,1,2003-04-11,1,1,2003-04-11,1,2003,30,30,50,Uganda,500,4,17.1
4688,5298,1,Puntland state of Somalia,671,,Republic of Somaliland,675,,2002-12-07,1,2004-10-28,1,1,2004-11-17,2,2004,34,34,125,Somalia,520,4,17.1
4689,5299,1,Mayi Mayi,648,,RCD,424,,1998-08-23,1,1998-09-11,2,0,,,1998,29,29,32,DR Congo (Zaire),490,4,17.1
4689,5299,1,Mayi Mayi,648,,RCD,424,,1998-08-23,1,1998-09-11,2,0,,,1999,115,115,187,DR Congo (Zaire),490,4,17.1
4689,5299,1,Mayi Mayi,648,,RCD,424,,1998-08-23,1,1998-09-11,2,1,2000-12-14,2,2000,107,107,107,DR Congo (Zaire),490,4,17.1
4689,5299,1,Mayi Mayi,648,,RCD,424,,1998-08-23,1,2002-03-15,1,0,,,2002,378,378,466,DR Congo (Zaire),490,4,17.1
4689,5299,1,Mayi Mayi,648,,RCD,424,,1998-08-23,1,2002-03-15,1,1,2003-07-31,1,2003,53,53,85,DR Congo (Zaire),490,4,17.1
4690,5300,1,FRF,673,,RCD,424,,2002-02-25,3,2002-04-16,1,1,2002-04-16,1,2002,221,221,221,DR Congo (Zaire),490,4,17.1
4691,5301,1,RCD-K-ML ,789,,RCD-N,653,,2003-03-16,1,2003-03-16,1,1,2003-03-16,1,2003,45,45,45,DR Congo (Zaire),490,4,17.1
4692,5302,1,RCD-K-ML ,789,,"MLC, RCD-N",3845,"423, 653",2001-06-10,2,2001-06-10,2,0,,,2001,40,40,49,DR Congo (Zaire),490,4,17.1
4692,5302,1,RCD-K-ML ,789,,"MLC, RCD-N",3845,"423, 653",2001-06-10,2,2001-06-10,2,1,2002-08-31,3,2002,158,158,294,DR Congo (Zaire),490,4,17.1
4693,5303,3,Rizeigat Abbala,676,,Terjam,690,,2007-01-06,1,2007-01-07,1,1,2007-08-14,1,2007,382,382,382,Sudan,625,4,17.1
4694,5304,1,RRA,678,,RRA - MH,677,,2001-01-02,1,2002-07-05,1,0,,,2002,154,154,189,Somalia,520,4,17.1
4694,5304,1,RRA,678,,RRA - MH,677,,2001-01-02,1,2002-07-05,1,1,2003-10-11,2,2003,80,80,131,Somalia,520,4,17.1
4694,5304,1,RRA,678,,RRA - MH,677,,2001-01-02,1,2005-05-30,1,1,2005-05-30,1,2005,34,34,34,Somalia,520,4,17.1
4695,5305,3,Sa'ad subclan of Habar Gidir clan (Hawiye),680,,Suleiman subclan of Habar Gidir clan (Hawiye),687,,1998-03-26,1,2004-12-02,2,0,,,2004,156,156,174,Somalia,520,4,17.1
4695,5305,3,Sa'ad subclan of Habar Gidir clan (Hawiye),680,,Suleiman subclan of Habar Gidir clan (Hawiye),687,,1998-03-26,1,2004-12-02,2,0,,,2005,103,92,130,Somalia,520,4,17.1
4695,5305,3,Sa'ad subclan of Habar Gidir clan (Hawiye),680,,Suleiman subclan of Habar Gidir clan (Hawiye),687,,1998-03-26,1,2004-12-02,2,1,2006-06-12,1,2006,48,36,72,Somalia,520,4,17.1
4695,5305,3,Sa'ad subclan of Habar Gidir clan (Hawiye),680,,Suleiman subclan of Habar Gidir clan (Hawiye),687,,1998-03-26,1,2011-07-03,1,1,2011-08-28,2,2011,40,30,40,Somalia,520,4,17.1
4696,5306,1,Gulf Cartel,782,,Sinaloa Cartel,775,,2004-01-25,2,2004-10-10,2,0,,,2004,106,106,106,Mexico,70,5,17.1
4696,5306,1,Gulf Cartel,782,,Sinaloa Cartel,775,,2004-01-25,2,2004-10-10,2,0,,,2005,187,187,208,Mexico,70,5,17.1
4696,5306,1,Gulf Cartel,782,,Sinaloa Cartel,775,,2004-01-25,2,2004-10-10,2,0,,,2006,627,627,810,Mexico,70,5,17.1
4696,5306,1,Gulf Cartel,782,,Sinaloa Cartel,775,,2004-01-25,2,2004-10-10,2,0,,,2007,448,448,542,Mexico,70,5,17.1
4696,5306,1,Gulf Cartel,782,,Sinaloa Cartel,775,,2004-01-25,2,2004-10-10,2,0,,,2008,72,72,81,"Guatemala, Mexico","90, 70",5,17.1
4696,5306,1,Gulf Cartel,782,,Sinaloa Cartel,775,,2004-01-25,2,2004-10-10,2,0,,,2009,150,150,366,Mexico,70,5,17.1
4696,5306,1,Gulf Cartel,782,,Sinaloa Cartel,775,,2004-01-25,2,2004-10-10,2,1,2010-05-10,1,2010,42,42,46,"Mexico, Honduras","70, 91",5,17.1
4697,5307,1,SLM/A,469,,SLM/A - MM,471,,2005-11-01,1,2005-11-01,1,0,,,2005,45,45,45,Sudan,625,4,17.1
4697,5307,1,SLM/A,469,,SLM/A - MM,471,,2005-11-01,1,2005-11-01,1,1,2006-07-07,1,2006,57,57,117,Sudan,625,4,17.1
4698,5308,3,Rer Ahmad subclan (Hawiye),683,,Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod),684,,2004-05-08,1,2004-05-31,1,1,2004-06-02,1,2004,69,69,90,"Kenya, Somalia","501, 520",4,17.1
4699,5309,1,RCSS,256,,UWSA,364,,2001-03-18,1,2005-04-15,2,1,2005-04-26,1,2005,110,102,140,Myanmar (Burma),775,3,17.1
4700,5310,3,Sa'ad subclan of Habar Gidir clan (Hawiye),680,,Saleban-Abdalla subclan of Majerteen clan (Darod),1121,,2003-07-09,2,2003-07-09,2,1,2003-07-09,2,2003,28,25,40,Somalia,520,4,17.1
4701,5311,3,Tama,636,,Zaghawa,705,,2006-03-19,2,2006-07-04,1,0,,,2006,74,74,74,Chad,483,4,17.1
4701,5311,3,Tama,636,,Zaghawa,705,,2006-03-19,2,2006-07-04,1,1,2007-10-15,2,2007,126,126,156,Chad,483,4,17.1
4702,5312,1,Tijuana Cartel,799,,Tijuana Cartel - El Teo faction,800,,2008-02-12,1,2008-09-29,1,0,,,2008,185,185,244,Mexico,70,5,17.1
4702,5312,1,Tijuana Cartel,799,,Tijuana Cartel - El Teo faction,800,,2008-02-12,1,2008-09-29,1,0,,,2009,47,47,66,Mexico,70,5,17.1
4702,5312,1,Tijuana Cartel,799,,Tijuana Cartel - El Teo faction,800,,2008-02-12,1,2008-09-29,1,1,2010-10-24,1,2010,54,54,83,Mexico,70,5,17.1
4703,5313,3,Toposa,692,,Turkana,693,,1992-10-31,3,1992-10-31,3,1,1992-10-31,3,1992,200,200,200,Sudan,625,4,17.1
4703,5313,3,Toposa,692,,Turkana,693,,1992-10-31,3,2008-08-29,1,1,2008-08-31,1,2008,25,25,33,Kenya,501,4,17.1
4703,5313,3,Toposa,692,,Turkana,693,,1992-10-31,3,2011-06-12,2,1,2011-06-17,1,2011,47,47,47,"Kenya, Sudan","501, 625",4,17.1
4704,5314,3,Pokot,670,,Turkana,693,,1995-12-05,2,1995-12-05,2,1,1995-12-05,2,1995,44,44,44,Kenya,501,4,17.1
4704,5314,3,Pokot,670,,Turkana,693,,1995-12-05,2,1999-03-31,3,1,1999-06-26,2,1999,115,54,115,Kenya,501,4,17.1
4704,5314,3,Pokot,670,,Turkana,693,,1995-12-05,2,2005-01-22,1,0,,,2005,28,28,28,Kenya,501,4,17.1
4704,5314,3,Pokot,670,,Turkana,693,,1995-12-05,2,2005-01-22,1,1,2006-12-29,1,2006,34,33,39,"Kenya, Uganda","501, 500",4,17.1
4704,5314,3,Pokot,670,,Turkana,693,,1995-12-05,2,2008-08-05,2,1,2008-09-03,1,2008,88,88,128,"Kenya, Uganda","501, 500",4,17.1
4704,5314,3,Pokot,670,,Turkana,693,,1995-12-05,2,2010-08-17,1,1,2010-11-25,1,2010,55,55,56,Kenya,501,4,17.1
4704,5314,3,Pokot,670,,Turkana,693,,1995-12-05,2,2013-12-03,3,0,,,2013,28,27,30,Kenya,501,4,17.1
4704,5314,3,Pokot,670,,Turkana,693,,1995-12-05,2,2013-12-03,3,0,,,2014,45,44,73,Kenya,501,4,17.1
4704,5314,3,Pokot,670,,Turkana,693,,1995-12-05,2,2013-12-03,3,1,2015-05-27,5,2015,102,102,129,Kenya,501,4,17.1
4705,5315,1,USC/SSA,502,,USC/SSA - OMF,698,,2001-12-27,2,2001-12-27,2,0,,,2001,34,17,34,Somalia,520,4,17.1
4705,5315,1,USC/SSA,502,,USC/SSA - OMF,698,,2001-12-27,2,2001-12-27,2,0,,,2002,62,62,77,Somalia,520,4,17.1
4705,5315,1,USC/SSA,502,,USC/SSA - OMF,698,,2001-12-27,2,2001-12-27,2,1,2003-11-23,2,2003,72,72,89,Somalia,520,4,17.1
4706,5316,3,Ma'aliyah,641,,Zaghawa,705,,2008-10-10,3,2008-10-10,3,1,2008-10-10,3,2008,41,41,51,Sudan,625,4,17.1
4707,5317,1,Harakat-i Inqilab-i Islami-yi Afghanistan ,293,,Ittihad-i Islami Bara-yi Azadi-yi Afghanistan ,297,,1989-08-29,3,1989-08-29,3,1,1989-08-29,3,1989,70,70,80,Afghanistan,700,3,17.1
4708,5318,1,Hizb-i Wahdat,300,,Hizb-i Wahdat - Akbari faction,801,,1994-05-29,1,1996-12-21,2,1,1996-12-21,2,1996,25,25,25,Afghanistan,700,3,17.1
4708,5318,1,Hizb-i Wahdat,300,,Hizb-i Wahdat - Akbari faction,801,,1994-05-29,1,2003-07-20,5,1,2003-07-28,1,2003,59,59,67,Afghanistan,700,3,17.1
4709,5319,1,Hizb-i Islami-yi Afghanistan,299,,Hizb-i Wahdat,300,,1994-07-09,1,1994-07-09,1,1,1994-07-09,1,1994,25,25,25,Afghanistan,700,3,17.1
4710,5320,1,Hizb-i Islami-yi Afghanistan,299,,Jamiat-ul-Dawa,802,,1991-08-25,2,1991-08-27,2,1,1991-11-02,1,1991,51,51,51,Afghanistan,700,3,17.1
4711,5321,1,Hizb-i Islami-yi Afghanistan,299,,Jam'iyyat-i Islami-yi Afghanistan,292,,1989-05-10,2,1989-07-09,1,0,,,1989,167,167,511,Afghanistan,700,3,17.1
4711,5321,1,Hizb-i Islami-yi Afghanistan,299,,Jam'iyyat-i Islami-yi Afghanistan,292,,1989-05-10,2,1989-07-09,1,0,,,1990,36,36,36,Afghanistan,700,3,17.1
4711,5321,1,Hizb-i Islami-yi Afghanistan,299,,Jam'iyyat-i Islami-yi Afghanistan,292,,1989-05-10,2,1989-07-09,1,1,1991-07-31,3,1991,200,200,200,Afghanistan,700,3,17.1
4712,5322,1,Hizb-i Islami-yi Afghanistan,299,,Junbish-i Milli-yi Islami,302,,1993-12-28,2,1994-04-20,2,1,1994-04-20,2,1994,27,27,27,Afghanistan,700,3,17.1
4712,5322,1,Hizb-i Islami-yi Afghanistan,299,,Junbish-i Milli-yi Islami,302,,1993-12-28,2,1996-03-03,2,1,1996-03-03,2,1996,200,20,200,Afghanistan,700,3,17.1
4713,5323,1,Hizb-i Islami-yi Afghanistan,299,,Taleban,303,,1994-10-12,1,1994-11-05,2,0,,,1994,66,16,66,Afghanistan,700,3,17.1
4713,5323,1,Hizb-i Islami-yi Afghanistan,299,,Taleban,303,,1994-10-12,1,1994-11-05,2,1,1995-02-13,2,1995,42,42,202,Afghanistan,700,3,17.1
4713,5323,1,Hizb-i Islami-yi Afghanistan,299,,Taleban,303,,1994-10-12,1,2010-03-07,2,0,,,2010,99,99,99,Afghanistan,700,3,17.1
4713,5323,1,Hizb-i Islami-yi Afghanistan,299,,Taleban,303,,1994-10-12,1,2010-03-07,2,1,2011-09-17,1,2011,25,25,27,Afghanistan,700,3,17.1
4714,5324,1,Jam'iyyat-i Islami-yi Afghanistan,292,,Junbish-i Milli-yi Islami,302,,1992-12-09,2,1992-12-09,2,1,1992-12-22,2,1992,90,90,90,Afghanistan,700,3,17.1
4714,5324,1,Jam'iyyat-i Islami-yi Afghanistan,292,,Junbish-i Milli-yi Islami,302,,1992-12-09,2,2002-02-03,2,0,,,2002,136,136,156,Afghanistan,700,3,17.1
4714,5324,1,Jam'iyyat-i Islami-yi Afghanistan,292,,Junbish-i Milli-yi Islami,302,,1992-12-09,2,2002-02-03,2,1,2003-11-02,2,2003,158,94,180,Afghanistan,700,3,17.1
4715,5325,1,Jam'iyyat-i Islami-yi Afghanistan,292,,Mahaz-i Milli-yi Islami-yi Afghanistan ,296,,1996-02-03,2,1996-02-03,2,1,1996-02-03,2,1996,100,100,100,Afghanistan,700,3,17.1
4716,5326,1,Jam'iyyat-i Islami-yi Afghanistan,292,,Shura-yi Nazar-i Shomali,803,,1995-12-26,2,1995-12-26,2,1,1995-12-26,2,1995,25,25,25,Afghanistan,700,3,17.1
4717,5327,1,GIA - El Ahd Battalion,903,,GIA - El Khadra Battalion,1026,,1998-04-26,1,1998-04-26,1,1,1998-04-26,1,1998,62,62,62,Algeria,615,4,17.1
4718,5328,1,GIA - El Forkane,904,,GIA - El Khadra Battalion,1026,,1998-06-09,1,1998-06-09,1,1,1998-06-09,1,1998,56,56,56,Algeria,615,4,17.1
4719,5329,1,AIS,537,,GIA,538,,1994-02-06,1,1995-04-27,3,1,1995-05-16,3,1995,51,51,64,Algeria,615,4,17.1
4719,5329,1,AIS,537,,GIA,538,,1994-02-06,1,1997-12-02,2,0,,,1997,250,250,250,Algeria,615,4,17.1
4719,5329,1,AIS,537,,GIA,538,,1994-02-06,1,1997-12-02,2,1,1998-12-30,1,1998,25,25,25,Algeria,615,4,17.1
4720,5330,1,BCP,804,,PBCP,805,,1993-01-17,1,1993-05-15,1,1,1993-05-15,1,1993,27,27,30,Bangladesh,771,3,17.1
4721,5331,3,Laime,807,,Qaqachaca,806,,1998-01-26,1,2000-01-25,1,1,2000-07-08,1,2000,50,46,50,Bolivia,145,5,17.1
4722,5332,1,ALiR,1128,,Palipehutu-FNL,432,,2000-02-12,3,2000-02-12,3,1,2000-02-12,3,2000,100,100,300,Burundi,516,4,17.1
4723,5333,3,Bafanji,905,,Balikumbat ,906,,1998-02-28,3,1998-02-28,3,1,1998-03-25,2,1998,51,51,60,Cameroon,471,4,17.1
4724,5334,3,Banya,907,,"Foulbe, Hausa",3804,"908, 608",1991-07-17,2,1991-07-17,2,1,1991-07-17,2,1991,50,9,100,Cameroon,471,4,17.1
4725,5335,3,Choa Arab,910,,Kotoko,909,,1992-01-30,2,1992-11-15,2,0,,,1992,25,25,110,Cameroon,471,4,17.1
4725,5335,3,Choa Arab,910,,Kotoko,909,,1992-01-30,2,1992-11-15,2,0,,,1993,47,32,69,Cameroon,471,4,17.1
4725,5335,3,Choa Arab,910,,Kotoko,909,,1992-01-30,2,1992-11-15,2,1,1994-03-26,2,1994,34,30,34,Cameroon,471,4,17.1
4726,5336,1,Hells Angels,808,,Rock Machine,809,,1994-10-20,1,1995-12-31,5,1,1995-12-31,5,1995,25,25,25,"Mexico, Canada","70, 20",5,17.1
4726,5336,1,Hells Angels,808,,Rock Machine,809,,1994-10-20,1,1998-12-31,5,1,1998-12-31,5,1998,27,27,27,Canada,20,5,17.1
4727,5337,3,Khozam  ,912,,Oulad Rachid,911,,2000-11-21,1,2000-11-21,1,1,2000-11-28,1,2000,72,72,72,Chad,483,4,17.1
4728,5338,1,AUC,771,,ELN,744,,1997-05-30,1,1998-06-04,3,1,1998-11-20,1,1998,53,53,53,Colombia,100,5,17.1
4728,5338,1,AUC,771,,ELN,744,,1997-05-30,1,2000-07-21,2,0,,,2000,35,35,143,Colombia,100,5,17.1
4728,5338,1,AUC,771,,ELN,744,,1997-05-30,1,2000-07-21,2,1,2001-10-30,1,2001,41,41,41,Colombia,100,5,17.1
4729,5339,1,Cali Cartel,810,,Medellín Cartel,774,,1990-05-03,1,1990-09-25,1,1,1990-10-25,1,1990,41,41,46,Colombia,100,5,17.1
4730,5340,1,Medellín Cartel,774,,PEPES,811,,1993-02-05,2,1993-02-05,2,1,1993-06-02,1,1993,45,45,45,Colombia,100,5,17.1
4731,5341,1,MPA/Republic of Anjouan,544,,MPA - SOC,913,,1998-12-06,2,1998-12-08,2,1,1998-12-08,2,1998,40,40,60,Comoros,581,4,17.1
4732,5342,1,AFDL,422,,ALiR,1128,,1997-01-10,1,1997-03-20,1,1,1997-03-20,1,1997,120,120,120,DR Congo (Zaire),490,4,17.1
4733,5343,1,AFDL,422,,Mayi Mayi,648,,1996-11-05,1,1997-01-03,1,1,1997-01-03,1,1997,33,33,33,DR Congo (Zaire),490,4,17.1
4734,5344,3,Hunde,914,,Hutu,915,,1993-04-30,3,1993-04-30,3,1,1993-09-07,1,1993,157,157,157,DR Congo (Zaire),490,4,17.1
4734,5344,3,Hunde,914,,Hutu,915,,1993-04-30,3,1995-06-09,2,0,,,1995,465,465,465,DR Congo (Zaire),490,4,17.1
4734,5344,3,Hunde,914,,Hutu,915,,1993-04-30,3,1995-06-09,2,1,1996-10-21,5,1996,119,119,1326,DR Congo (Zaire),490,4,17.1
4735,5345,3,Banyarwanda,1074,,"Hunde, Nyanga",3860,"914, 1059",1993-03-21,1,1993-03-21,1,0,,,1993,3051,351,6051,DR Congo (Zaire),490,4,17.1
4735,5345,3,Banyarwanda,1074,,"Hunde, Nyanga",3860,"914, 1059",1993-03-21,1,1993-03-21,1,1,1994-12-31,5,1994,146,146,4000,DR Congo (Zaire),490,4,17.1
4736,5346,1,"CNDD-FDD , Mayi Mayi",3854,"648, 434",RCD,424,,2000-04-13,3,2000-04-13,3,1,2000-05-15,1,2000,97,70,97,DR Congo (Zaire),490,4,17.1
4737,5347,1,RCD-ML ,425,,RCD-K-ML ,789,,2000-11-05,2,2000-11-15,2,1,2000-11-15,2,2000,43,43,50,DR Congo (Zaire),490,4,17.1
4738,5348,1,Mayi Mayi,648,,RCD-ML ,425,,1999-11-14,1,1999-11-14,1,1,1999-11-25,2,1999,80,80,173,DR Congo (Zaire),490,4,17.1
4739,5349,3,Amhara,916,,Oromo,664,,1989-03-31,3,1991-11-14,2,1,1991-11-14,2,1991,25,25,61,Ethiopia,530,4,17.1
4739,5349,3,Amhara,916,,Oromo,664,,1989-03-31,3,2000-11-30,3,0,,,2000,108,108,108,Ethiopia,530,4,17.1
4739,5349,3,Amhara,916,,Oromo,664,,1989-03-31,3,2000-11-30,3,1,2001-03-31,5,2001,100,100,100,Ethiopia,530,4,17.1
4740,5350,3,Arbore,917,,Borana,591,,1992-06-18,1,1992-06-18,1,1,1992-06-18,1,1992,317,317,317,Ethiopia,530,4,17.1
